기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2019	성북구	정릉1동	757	1,976	15	30	77	188	197	540	254	788	214	430
2019	성북구	정릉2동	904	2,961	10	22	118	244	226	844	316	1,360	234	491
2019	성북구	정릉3동	717	4,764	24	80	87	173	157	771	229	1,427	220	2,313
2019	성북구	정릉4동	929	4,131	16	37	103	215	193	558	320	1,716	297	1,605
2019	성북구	길음1동	1,008	3,921	16	41	130	424	292	1,127	293	1,567	277	762
2019	성북구	길음2동	995	4,816	22	50	183	538	263	1,158	314	2,085	213	985
2019	성북구	월곡1동	1,361	5,403	22	55	139	340	346	1,366	477	2,631	377	1,011
2019	성북구	월곡2동	1,558	8,951	53	125	213	588	389	1,478	531	2,750	372	4,010
2019	성북구	장위1동	911	2,263	17	62	83	197	195	441	330	989	286	574
2019	성북구	장위2동	1,106	3,218	19	40	98	208	232	643	405	1,503	352	824
2019	성북구	장위3동	597	2,331	8	21	69	204	144	458	173	714	203	934
2019	성북구	성북동	1,174	5,315	29	50	159	388	332	1,271	345	2,243	309	1,363
2019	성북구	삼선동	1,834	8,921	58	132	259	703	474	1,642	582	2,831	461	3,613
2019	성북구	동선동	2,037	9,961	117	317	466	1,565	595	2,289	480	2,618	379	3,172
2019	성북구	종암동	2,034	8,629	31	326	241	743	540	2,005	689	3,957	533	1,598
2019	성북구	석관동	2,163	9,984	39	94	227	1,508	514	1,756	729	3,063	654	3,563
2019	강북구	소계	19,014	73,904	547	1,461	2,606	7,382	4,534	18,128	6,187	29,881	5,140	17,052
2019	강북구	번1동	1,895	9,633	66	227	261	1,253	510	2,818	604	3,634	454	1,701
2019	강북구	번2동	640	3,657	14	40	71	173	114	502	230	1,930	211	1,012
2019	강북구	번3동	869	3,147	13	24	135	213	179	696	278	1,354	264	860
2019	강북구	수유1동	1,473	5,349	39	86	153	328	354	1,251	484	2,555	443	1,129
2019	강북구	수유2동	1,280	3,797	37	94	146	278	309	922	441	1,617	347	886
2019	강북구	수유3동	2,542	9,146	104	292	405	1,240	633	2,112	794	2,818	606	2,684
2019	강북구	삼양동	1,059	3,509	22	68	149	368	250	696	330	1,351	308	1,026
2019	강북구	미아동	1,740	6,824	73	159	235	641	409	1,445	593	3,056	430	1,523
2019	강북구	송중동	2,117	8,611	69	215	342	1,302	537	2,445	672	3,192	497	1,457
2019	강북구	송천동	2,041	7,973	37	95	227	621	450	2,462	716	2,966	611	1,829
2019	강북구	삼각산동	782	2,247	18	31	117	244	240	734	257	961	150	277
2019	강북구	우이동	1,016	4,252	26	55	146	284	217	696	315	1,907	312	1,310
2019	강북구	인수동	1,560	5,759	29	75	219	437	332	1,349	473	2,540	507	1,358
2019	도봉구	소계	18,628	72,939	320	806	2,295	5,488	4,193	18,820	6,501	29,501	5,319	18,324
2019	도봉구	쌍문1동	913	3,831	19	56	122	234	196	867	303	2,050	273	624
2019	도봉구	쌍문2동	1,280	5,572	26	85	185	505	270	1,831	465	1,821	334	1,330
2019	도봉구	쌍문3동	966	4,182	19	44	131	399	254	818	306	2,286	256	635
2019	도봉구	쌍문4동	611	2,093	9	19	77	182	116	292	228	928	181	672
2019	도봉구	방학1동	2,350	13,653	49	123	297	728	597	4,103	817	4,737	590	3,962
2019	도봉구	방학2동	1,219	2,909	23	56	146	295	270	600	420	1,227	360	731
2019	도봉구	방학3동	898	3,169	20	47	101	355	179	905	324	1,226	274	636
2019	도봉구	창1동	1,538	3,958	16	49	244	462	327	884	519	1,835	432	728
2019	도봉구	창2동	1,410	4,428	23	52	172	336	309	863	530	1,817	376	1,360
2019	도봉구	창3동	915	2,170	13	24	87	169	229	488	321	911	265	578
2019	도봉구	창4동	1,319	7,530	26	64	143	476	319	2,105	461	2,734	370	2,151
2019	도봉구	창5동	2,157	7,359	33	68	268	636	412	2,060	777	2,789	667	1,806
2019	도봉구	도봉1동	1,626	5,766	26	53	151	348	362	1,339	586	2,395	501	1,631
2019	도봉구	도봉2동	1,426	6,319	18	66	171	363	353	1,665	444	2,745	440	1,480
2019	노원구	소계	26,618	116,684	586	1,479	3,031	9,200	6,397	26,829	9,055	50,892	7,549	28,284
2019	노원구	월계1동	1,466	6,721	33	70	176	543	371	1,549	479	3,537	407	1,022
2019	노원구	월계2동	930	3,255	11	18	96	223	186	784	341	1,331	296	899
2019	노원구	월계3동	996	4,143	24	65	91	157	220	1,226	345	1,304	316	1,391
2019	노원구	공릉2동	1,955	11,629	42	110	260	632	509	1,716	604	5,230	540	3,941
2019	노원구	하계1동	1,088	7,931	22	86	133	379	259	1,527	424	4,542	250	1,397
2019	노원구	하계2동	414	1,220	6	25	34	69	73	246	156	611	145	269
2019	노원구	중계본동	1,205	5,602	21	65	133	395	347	1,215	432	2,352	272	1,575
2019	노원구	중계1동	1,050	4,205	15	34	119	379	304	1,307	369	1,501	243	984
2019	노원구	중계4동	1,059	3,923	22	42	127	403	270	876	358	1,787	282	815
2019	노원구	상계1동	3,183	9,518	42	121	247	719	573	2,362	1,126	3,528	1,195	2,788
2019	노원구	상계2동	2,668	10,536	101	262	447	1,500	744	2,991	808	3,783	568	2,000
2019	노원구	상계5동	1,567	4,936	47	88	180	459	417	1,173	550	2,224	373	992
2019	노원구	상계8동	484	1,697	9	17	40	74	117	381	177	587	141	638
2019	노원구	상계9동	698	2,520	14	36	61	150	137	480	243	1,302	243	552
2019	노원구	상계10동	515	2,188	12	28	66	122	108	305	158	1,380	171	353
2019	노원구	상계3.4동	1,196	3,787	15	24	104	206	252	753	409	1,902	416	902
2019	노원구	상계6.7동	1,921	15,772	39	92	208	1,222	508	3,546	668	7,244	498	3,668
2019	노원구	중계2.3동	1,382	5,153	26	68	161	605	350	1,109	480	2,409	365	962
2019	노원구	공릉1동	2,841	11,948	85	228	348	963	652	3,283	928	4,338	828	3,136
2019	은평구	소계	24,681	93,631	618	1,552	3,380	9,748	5,945	22,078	8,800	37,814	5,938	22,439
2019	은평구	녹번동	1,962	9,531	42	131	287	838	460	1,810	729	4,794	444	1,958
2019	은평구	불광1동	1,627	7,034	40	103	208	764	372	1,658	606	3,189	401	1,320
2019	은평구	갈현1동	1,498	4,881	46	110	227	619	396	1,561	475	1,401	354	1,190
2019	은평구	갈현2동	1,579	5,985	51	120	251	705	378	1,164	546	2,990	353	1,006
2019	은평구	구산동	1,216	5,509	20	38	167	336	269	1,114	484	3,056	276	965
2019	은평구	대조동	2,430	7,864	74	214	311	917	717	2,283	783	2,941	545	1,509
2019	은평구	응암1동	1,661	7,831	34	89	224	853	435	1,861	550	2,830	418	2,198
2019	은평구	응암2동	707	2,102	13	22	106	215	178	435	250	1,082	160	348
2019	은평구	신사1동	1,347	4,066	47	114	182	432	284	878	513	1,651	321	991
2019	은평구	신사2동	1,704	3,716	21	44	217	409	251	828	740	1,528	475	907
2019	은평구	증산동	945	3,619	16	42	113	570	206	746	346	1,158	264	1,103
2019	은평구	수색동	514	2,264	12	26	50	124	85	485	187	1,085	180	544
2019	은평구	진관동	1,894	12,366	71	212	317	1,259	563	2,732	635	4,265	308	3,898
2019	은평구	불광2동	1,295	3,943	23	50	140	343	297	1,157	466	1,337	369	1,056
2019	은평구	응암3동	1,768	5,142	41	79	224	559	406	1,173	613	1,856	484	1,475
2019	은평구	역촌동	2,534	7,778	67	158	356	805	648	2,193	877	2,651	586	1,971
2019	서대문구	소계	20,095	113,819	666	1,906	3,336	8,575	5,116	21,180	6,397	40,776	4,580	41,382
2019	서대문구	천연동	915	3,069	19	41	104	219	236	723	298	1,218	258	868
2019	서대문구	홍제1동	1,154	4,827	37	87	147	348	281	805	408	1,749	281	1,838
2019	서대문구	홍제3동	1,157	3,687	20	39	158	410	269	885	380	1,273	330	1,080
2019	서대문구	홍제2동	594	1,699	14	22	69	152	151	409	201	698	159	418
2019	서대문구	홍은1동	999	2,658	23	59	124	227	256	673	323	1,005	273	694
