기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	동대문구	이문1동	1	8,286	32,442	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	8,286	32,442
2019	동대문구	이문2동	1	1,774	3,392	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,774	3,392
2019	중랑구	소계	14	98,711	586,582	6	59,713	257,850	-	-	-	-	-	-	-	-	-	1	16,011	232,943	7	22,987	95,789
2019	중랑구	면목5동	1	7,776	10,461	1	7,776	10,461	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	중랑구	면목7동	1	3,867	3,978	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,867	3,978
2019	중랑구	상봉1동	2	34,603	292,923	1	18,592	59,980	-	-	-	-	-	-	-	-	-	1	16,011	232,943	-	-	-
2019	중랑구	상봉2동	2	12,016	37,515	1	9,776	34,043	-	-	-	-	-	-	-	-	-	-	-	-	1	2,240	3,472
2019	중랑구	중화2동	1	3,047	26,680	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,047	26,680
2019	중랑구	묵1동	1	4,256	84,710	1	4,256	84,710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	중랑구	망우3동	1	1,321	7,154	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,321	7,154
2019	중랑구	신내1동	1	4,137	21,610	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,137	21,610
2019	중랑구	신내2동	2	16,723	60,247	1	9,907	29,118	-	-	-	-	-	-	-	-	-	-	-	-	1	6,816	31,129
2019	중랑구	면목본동	1	1,559	1,766	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,559	1,766
2019	중랑구	망우본동	1	9,406	39,538	1	9,406	39,538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	성북구	소계	21	87,861	329,447	3	34,768	163,782	1	35,955	88,679	-	-	-	-	-	-	1	6,473	26,488	16	10,665	50,498
2019	성북구	돈암2동	3	5,781	35,520	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5,781	35,520
2019	성북구	보문동	2	516	675	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	516	675
2019	성북구	정릉1동	1	257	264	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	257	264
2019	성북구	길음1동	5	1,913	11,550	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1,913	11,550
2019	성북구	길음2동	3	45,717	109,314	2	9,762	20,635	1	35,955	88,679	-	-	-	-	-	-	-	-	-	-	-	-
