기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	강북구	번3동	235	121	7	45	***	13	55	38	76
2019	강북구	수유1동	506	324	27	74	31	59	133	73	109
2019	강북구	수유2동	354	226	18	46	25	40	97	57	71
2019	강북구	수유3동	750	577	61	82	112	114	208	89	84
2019	강북구	삼양동	422	278	33	80	27	46	92	48	96
2019	강북구	미아동	897	707	66	71	160	133	277	99	91
2019	강북구	송중동	1,012	799	130	88	141	195	245	117	96
2019	강북구	송천동	967	725	125	109	72	179	240	123	119
2019	강북구	삼각산동	313	186	8	73	***	26	77	51	76
2019	강북구	우이동	373	236	34	58	9	39	96	49	88
2019	강북구	인수동	648	388	43	94	28	64	159	104	156
2019	도봉구	계	5,027	3,320	447	713	357	569	1,234	722	985
2019	도봉구	쌍문1동	512	364	18	58	137	36	115	59	89
2019	도봉구	쌍문2동	391	269	93	50	8	39	79	54	68
2019	도봉구	쌍문3동	372	250	52	49	24	50	75	57	65
2019	도봉구	쌍문4동	143	73	5	21	***	18	28	23	47
2019	도봉구	방학1동	576	404	53	83	82	52	134	73	99
2019	도봉구	방학2동	499	303	55	62	14	50	122	98	98
2019	도봉구	방학3동	191	112	***	30	***	20	55	22	57
2019	도봉구	창1동	330	239	28	44	14	62	91	47	44
2019	도봉구	창2동	590	390	61	83	22	53	171	84	116
2019	도봉구	창3동	264	170	16	40	8	36	70	38	56
2019	도봉구	창4동	198	141	10	26	6	33	66	22	35
2019	도봉구	창5동	290	193	30	48	10	39	66	39	58
2019	도봉구	도봉1동	347	214	13	60	18	33	90	61	72
2019	도봉구	도봉2동	324	198	9	59	10	48	72	45	81
2019	노원구	계	8,300	6,279	471	966	1,863	636	2,343	756	1,265
2019	노원구	월계1동	902	798	63	43	394	41	257	44	60
2019	노원구	월계2동	438	284	17	84	37	29	117	49	105
2019	노원구	월계3동	412	260	14	86	8	30	122	56	96
2019	노원구	공릉2동	1,728	1,569	30	76	941	50	472	44	115
2019	노원구	하계1동	681	608	30	32	204	31	311	30	43
2019	노원구	하계2동	139	91	7	36	***	17	30	15	33
2019	노원구	중계본동	178	108	13	24	***	25	44	22	48
2019	노원구	중계1동	210	147	47	23	***	24	52	27	36
2019	노원구	중계4동	137	78	5	23	***	16	33	27	32
2019	노원구	상계1동	360	236	23	62	9	41	101	45	79
2019	노원구	상계2동	342	249	44	31	18	34	122	43	50
2019	노원구	상계5동	359	221	24	54	10	38	95	49	89
2019	노원구	상계8동	125	69	***	38	***	12	19	17	39
