기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	동대문구	장안1동	912	-	1,267	799	1,083	76	133	37	51	-	-
2019	동대문구	장안2동	718	-	985	619	815	58	108	41	62	-	-
2019	동대문구	이문1동	453	-	602	385	508	45	70	23	24	-	-
2019	동대문구	이문2동	567	-	804	483	649	40	88	44	67	-	-
2019	동대문구	기타	15	26	219	13	10	2	-	-	-	26	209
2019	중랑구	소계	13,840	43	19,885	12,336	16,662	1,363	2,500	141	170	43	553
2019	중랑구	면목2동	916	-	1,255	826	1,113	80	133	10	9	-	-
2019	중랑구	면목4동	932	-	1,334	827	1,125	99	203	6	6	-	-
2019	중랑구	면목5동	384	-	551	340	472	41	75	3	4	-	-
2019	중랑구	면목7동	644	-	845	562	709	74	126	8	10	-	-
2019	중랑구	상봉1동	925	-	1,397	804	1,150	118	240	3	7	-	-
2019	중랑구	상봉2동	584	-	767	507	662	58	82	19	23	-	-
2019	중랑구	중화1동	527	-	751	462	637	61	109	4	5	-	-
2019	중랑구	중화2동	1,449	-	1,876	1,286	1,610	153	254	10	12	-	-
2019	중랑구	묵1동	565	-	856	518	758	46	97	1	1	-	-
2019	중랑구	묵2동	570	-	792	518	700	47	84	5	8	-	-
2019	중랑구	망우3동	1,034	-	1,443	889	1,166	130	258	15	19	-	-
2019	중랑구	신내1동	857	-	1,396	791	1,253	58	130	8	13	-	-
2019	중랑구	신내2동	863	-	1,203	797	1,070	60	127	6	6	-	-
2019	중랑구	면목본동	1,332	-	1,806	1,207	1,626	112	166	13	14	-	-
2019	중랑구	면목3.8동	960	-	1,311	844	1,101	96	187	20	23	-	-
2019	중랑구	망우본동	1,298	-	1,749	1,158	1,510	130	229	10	10	-	-
2019	중랑구	기타	-	43	553	-	-	-	-	-	-	43	553
2019	성북구	소계	9,665	28	13,719	8,010	10,399	1,386	2,584	269	343	28	393
2019	성북구	돈암1동	368	-	502	307	390	49	98	12	14	-	-
2019	성북구	돈암2동	226	-	292	198	243	24	45	4	4	-	-
2019	성북구	안암동	273	-	365	237	308	25	45	11	12	-	-
2019	성북구	보문동	308	-	392	262	325	39	60	7	7	-	-
2019	성북구	정릉1동	270	-	363	224	282	40	75	6	6	-	-
2019	성북구	정릉2동	463	-	665	393	532	63	122	7	11	-	-
2019	성북구	정릉3동	507	-	688	429	545	68	131	10	12	-	-
2019	성북구	정릉4동	539	-	770	447	587	84	175	8	8	-	-
2019	성북구	길음1동	352	-	503	303	412	28	66	21	25	-	-
2019	성북구	길음2동	346	-	420	290	336	45	71	11	13	-	-
2019	성북구	월곡1동	623	-	840	493	615	106	195	24	30	-	-
2019	성북구	월곡2동	493	-	632	409	506	76	117	8	9	-	-
2019	성북구	장위1동	875	-	1,378	694	997	167	363	14	18	-	-
2019	성북구	장위2동	564	-	805	456	616	81	150	27	39	-	-
2019	성북구	장위3동	419	-	644	341	494	71	139	7	11	-	-
2019	성북구	성북동	275	-	369	225	279	45	81	5	9	-	-
2019	성북구	삼선동	578	-	783	493	647	64	106	21	30	-	-
2019	성북구	동선동	295	-	367	238	288	49	69	8	10	-	-
2019	성북구	종암동	889	-	1,170	717	883	142	251	30	36	-	-
2019	성북구	석관동	1,000	-	1,374	852	1,110	120	225	28	39	-	-
2019	성북구	기타	2	28	397	2	4	-	-	-	-	28	393
2019	강북구	소계	12,471	34	17,723	10,492	14,012	1,439	2,666	540	768	34	277
2019	강북구	번1동	699	-	880	592	726	92	135	15	19	-	-
2019	강북구	번2동	1,035	-	1,532	841	1,161	128	269	66	102	-	-
2019	강북구	번3동	1,558	-	2,438	1,326	1,951	154	365	78	122	-	-
2019	강북구	수유1동	938	-	1,310	814	1,091	100	185	24	34	-	-
2019	강북구	수유2동	764	-	1,057	643	845	95	176	26	36	-	-
2019	강북구	수유3동	847	-	1,089	720	904	113	163	14	22	-	-
2019	강북구	삼양동	1,104	-	1,568	878	1,168	172	323	54	77	-	-
2019	강북구	미아동	745	-	957	614	769	75	114	56	74	-	-
2019	강북구	송중동	897	-	1,167	759	939	83	145	55	83	-	-
2019	강북구	송천동	1,185	-	1,539	1,023	1,271	127	218	35	50	-	-
2019	강북구	삼각산동	847	-	1,133	730	936	92	168	25	29	-	-
2019	강북구	우이동	620	-	919	536	765	62	127	22	27	-	-
2019	강북구	인수동	1,224	-	1,849	1,008	1,478	146	278	70	93	-	-
2019	강북구	기타	8	34	285	8	8	-	-	-	-	34	277
2019	도봉구	소계	8,367	53	12,192	7,017	9,478	1,268	2,318	82	106	53	290
2019	도봉구	쌍문1동	705	-	1,019	606	817	95	194	4	8	-	-
2019	도봉구	쌍문2동	583	-	849	490	695	79	139	14	15	-	-
2019	도봉구	쌍문3동	453	-	612	401	526	50	83	2	3	-	-
2019	도봉구	쌍문4동	185	-	277	165	232	18	43	2	2	-	-
2019	도봉구	방학1동	964	-	1,362	800	1,076	155	273	9	13	-	-
2019	도봉구	방학2동	1,285	-	1,958	1,009	1,410	264	534	12	14	-	-
2019	도봉구	방학3동	251	-	363	238	337	11	24	2	2	-	-
2019	도봉구	창1동	384	-	520	328	421	52	95	4	4	-	-
2019	도봉구	창2동	683	-	1,033	556	778	121	242	6	13	-	-
2019	도봉구	창3동	701	-	1,023	578	827	118	191	5	5	-	-
2019	도봉구	창4동	218	-	301	187	242	30	58	1	1	-	-
2019	도봉구	창5동	348	-	466	289	369	57	95	2	2	-	-
2019	도봉구	도봉1동	883	-	1,196	757	988	110	190	16	18	-	-
2019	도봉구	도봉2동	714	-	913	603	750	108	157	3	6	-	-
2019	도봉구	기타	10	53	300	10	10	-	-	-	-	53	290
2019	노원구	소계	18,764	36	27,891	15,816	21,671	2,753	5,254	195	250	36	716
2019	노원구	월계1동	568	-	755	481	619	81	129	6	7	-	-
2019	노원구	월계2동	2,097	-	2,936	1,805	2,398	272	509	20	29	-	-
2019	노원구	월계3동	1,311	-	1,819	1,104	1,454	195	352	12	13	-	-
2019	노원구	공릉2동	592	-	877	499	732	91	143	2	2	-	-
2019	노원구	하계1동	1,899	-	2,660	1,604	2,105	274	523	21	32	-	-
2019	노원구	하계2동	685	-	1,106	586	882	92	215	7	9	-	-
2019	노원구	중계본동	327	-	542	265	413	58	123	4	6	-	-
2019	노원구	중계1동	422	-	636	351	501	66	129	5	6	-	-
2019	노원구	중계4동	1,234	-	1,675	1,055	1,351	167	311	12	13	-	-
