기간,자치구,종류별,합계,합계,직장(근로자),직장(근로자),공무원·교직원,공무원·교직원,지역,지역
기간,자치구,종류별,건수,금액,건수,금액,건수,금액,건수,금액
2015,금천구,약국,"2,198,165","43,926,891","1,412,532","27,404,119","95,803","1,904,042","689,830","14,618,730"
2015,영등포구,소계,"9,645,411","314,571,104","6,226,262","188,690,072","607,302","19,195,102","2,811,847","106,685,930"
2015,영등포구,입원,"84,118","117,456,965","48,281","65,190,968","5,582","7,368,229","30,255","44,897,768"
2015,영등포구,외래,"6,161,976","127,104,740","3,971,545","80,114,401","392,786","7,814,870","1,797,645","39,175,469"
2015,영등포구,약국,"3,399,317","70,009,399","2,206,436","43,384,704","208,934","4,012,003","983,947","22,612,692"
2015,동작구,소계,"9,860,238","308,425,619","6,570,277","194,644,017","723,191","22,998,341","2,566,770","90,783,260"
2015,동작구,입원,"82,114","110,526,178","50,923","66,268,513","6,453","8,728,800","24,738","35,528,864"
2015,동작구,외래,"6,418,277","129,266,937","4,261,417","83,843,852","477,869","9,470,725","1,678,991","35,952,360"
2015,동작구,약국,"3,359,847","68,632,504","2,257,937","44,531,652","238,869","4,798,816","863,041","19,302,037"
2015,관악구,소계,"12,359,615","384,222,676","7,994,840","237,071,960","756,889","23,662,832","3,607,886","123,487,885"
2015,관악구,입원,"100,566","135,938,637","60,728","80,030,959","6,170","8,732,036","33,668","47,175,642"
2015,관악구,외래,"7,995,302","165,022,058","5,157,929","104,491,192","498,114","9,951,893","2,339,259","50,578,973"
2015,관악구,약국,"4,263,747","83,261,982","2,776,183","52,549,808","252,605","4,978,904","1,234,959","25,733,270"
2015,서초구,소계,"10,101,019","309,241,245","6,965,229","200,280,944","874,434","26,734,221","2,261,356","82,226,081"
2015,서초구,입원,"74,870","105,081,417","47,902","64,388,663","6,711","9,539,021","20,257","31,153,733"
2015,서초구,외래,"6,634,683","136,045,285","4,551,960","90,798,539","578,583","11,582,119","1,504,140","33,664,628"
2015,서초구,약국,"3,391,466","68,114,543","2,365,367","45,093,742","289,140","5,613,081","736,959","17,407,720"
2015,강남구,소계,"12,402,156","379,568,723","8,270,028","240,426,160","1,084,710","32,014,062","3,047,418","107,128,501"
2015,강남구,입원,"90,989","125,471,850","56,306","75,261,090","7,835","10,729,019","26,848","39,481,740"
2015,강남구,외래,"8,192,105","169,707,737","5,440,558","110,858,368","722,496","14,434,729","2,029,051","44,414,640"
2015,강남구,약국,"4,119,062","84,389,137","2,773,164","54,306,702","354,379","6,850,313","991,519","23,232,121"
2015,송파구,소계,"15,676,001","464,501,711","10,694,485","299,808,054","1,156,410","34,794,972","3,825,106","129,898,684"
2015,송파구,입원,"112,807","152,085,738","71,795","93,565,901","9,196","11,628,777","31,816","46,891,060"
2015,송파구,외래,"10,154,814","208,496,465","6,896,614","137,446,328","761,601","15,844,728","2,496,599","55,205,409"
2015,송파구,약국,"5,408,380","103,919,508","3,726,076","68,795,825","385,613","7,321,467","1,296,691","27,802,215"
2015,강동구,소계,"11,298,066","350,167,585","7,416,299","216,069,534","818,170","24,964,077","3,063,597","109,133,975"
2015,강동구,입원,"85,762","119,085,572","52,754","69,881,059","6,469","8,781,992","26,539","40,422,521"
2015,강동구,외래,"7,369,742","155,338,458","4,822,088","97,893,318","543,863","10,983,606","2,003,791","46,461,534"
2015,강동구,약국,"3,842,562","75,743,556","2,541,457","48,295,157","267,838","5,198,479","1,033,267","22,249,919"
2016,합계,합계,"253,846,531","8,521,394,003","168,547,584","5,342,789,372","16,397,980","544,754,446","68,900,967","2,633,850,186"
2016,합계,입원,"2,228,359","3,110,192,971","1,372,029","1,859,111,052","148,245","203,016,003","708,085","1,048,065,916"
2016,합계,외래,"163,025,566","3,541,286,802","107,880,005","2,285,932,232","10,691,899","226,861,912","44,453,662","1,028,492,658"
2016,합계,약국,"88,592,606","1,869,914,230","59,295,550","1,197,746,087","5,557,836","114,876,531","23,739,220","557,291,611"
2016,종로구,소계,"3,638,733","136,772,483","2,165,526","77,314,422","265,948","8,828,554","1,207,259","50,629,508"
2016,종로구,입원,"34,440","53,446,219","18,974","29,275,324","2,336","3,178,313","13,130","20,992,582"
2016,종로구,외래,"2,376,483","53,743,073","1,409,515","31,010,676","174,654","3,757,017","792,314","18,975,380"
2016,종로구,약국,"1,227,810","29,583,191","737,037","17,028,422","88,958","1,893,224","401,815","10,661,546"
2016,중구,소계,"3,315,833","123,643,809","2,029,508","68,546,508","135,824","5,049,891","1,150,501","50,047,411"
2016,중구,입원,"33,445","48,680,015","18,082","25,029,087","1,826","2,164,359","13,537","21,486,569"
2016,중구,외래,"2,162,886","49,011,941","1,321,482","28,503,015","90,243","1,864,197","751,161","18,644,729"
2016,중구,약국,"1,119,502","25,951,854","689,944","15,014,406","43,755","1,021,335","385,803","9,916,113"
2016,용산구,소계,"5,524,484","202,748,460","3,467,972","119,864,156","383,807","13,813,268","1,672,705","69,071,035"
2016,용산구,입원,"53,242","77,996,996","31,246","44,033,280","3,898","5,536,924","18,098","28,426,792"
2016,용산구,외래,"3,588,018","80,650,498","2,241,898","49,140,888","253,381","5,357,535","1,092,739","26,152,075"
2016,용산구,약국,"1,883,224","44,100,966","1,194,828","26,689,989","126,528","2,918,809","561,868","14,492,168"
2016,성동구,소계,"7,873,933","264,603,310","5,235,895","167,206,322","418,382","14,093,404","2,219,656","83,303,584"
2016,성동구,입원,"70,738","98,916,475","44,518","60,150,582","3,860","5,239,127","22,360","33,526,767"
2016,성동구,외래,"5,060,148","107,299,282","3,350,161","69,889,678","273,726","5,756,470","1,436,261","31,653,135"
2016,성동구,약국,"2,743,047","58,387,552","1,841,216","37,166,062","140,796","3,097,807","761,035","18,123,684"
2016,광진구,소계,"9,118,256","293,172,915","5,986,232","182,323,397","490,549","15,881,407","2,641,475","94,968,110"
2016,광진구,입원,"73,568","103,081,294","45,547","61,006,585","4,192","5,738,686","23,829","36,336,023"
2016,광진구,외래,"5,817,351","125,158,188","3,807,108","80,318,326","319,949","6,720,100","1,690,294","38,119,761"
2016,광진구,약국,"3,227,337","64,933,433","2,133,577","40,998,486","166,408","3,422,621","927,352","20,512,326"
2016,동대문구,소계,"9,208,448","324,745,749","5,827,398","195,243,521","502,746","18,400,265","2,878,304","111,101,963"
2016,동대문구,입원,"89,133","126,623,037","52,531","73,748,507","5,041","7,554,618","31,561","45,319,913"
2016,동대문구,외래,"5,884,489","126,631,237","3,711,691","77,849,173","327,648","7,069,519","1,845,150","41,712,545"
2016,동대문구,약국,"3,234,826","71,491,475","2,063,176","43,645,841","170,057","3,776,129","1,001,593","24,069,506"
2016,중랑구,소계,"11,194,455","379,267,060","7,137,060","230,098,046","531,422","19,546,795","3,525,973","129,622,219"
2016,중랑구,입원,"104,699","143,843,345","62,730","83,407,651","5,145","7,894,384","36,824","52,541,310"
2016,중랑구,외래,"7,038,795","151,557,123","4,478,177","94,871,169","339,503","7,521,606","2,221,115","49,164,348"
2016,중랑구,약국,"4,050,961","83,866,592","2,596,153","51,819,226","186,774","4,130,805","1,268,034","27,916,561"
2016,성북구,소계,"11,654,633","394,814,807","7,534,469","240,708,301","750,106","25,600,599","3,370,058","128,505,907"
2016,성북구,입원,"105,862","146,403,628","63,483","85,450,773","7,156","9,932,064","35,223","51,020,790"
2016,성북구,외래,"7,435,249","158,649,818","4,789,607","99,172,305","487,315","10,214,230","2,158,327","49,263,284"
2016,성북구,약국,"4,113,522","89,761,360","2,681,379","56,085,223","255,635","5,454,304","1,176,508","28,221,833"
2016,강북구,소계,"8,972,137","303,643,796","5,667,480","182,616,655","407,722","14,355,281","2,896,935","106,671,860"
2016,강북구,입원,"82,373","111,307,961","47,813","63,770,235","4,160","5,433,865","30,400","42,103,861"
2016,강북구,외래,"5,731,048","123,350,975","3,612,409","76,064,708","264,863","5,719,901","1,853,776","41,566,366"
2016,강북구,약국,"3,158,716","68,984,860","2,007,258","42,781,712","138,699","3,201,515","1,012,759","23,001,633"
2016,도봉구,소계,"9,234,423","308,386,926","6,020,626","194,758,129","613,501","20,013,955","2,600,296","93,614,842"
2016,도봉구,입원,"79,695","109,295,142","48,915","67,282,833","5,319","7,125,290","25,461","34,887,019"
2016,도봉구,외래,"5,871,637","126,459,903","3,817,679","81,164,606","396,325","8,250,432","1,657,633","37,044,865"
2016,도봉구,약국,"3,283,091","72,631,881","2,154,032","46,310,690","211,857","4,638,233","917,202","21,682,959"
2016,노원구,소계,"14,221,380","459,193,439","9,427,080","290,178,046","1,409,349","44,219,706","3,384,951","124,795,687"
2016,노원구,입원,"118,467","160,228,498","74,039","97,050,732","12,297","15,773,542","32,131","47,404,224"
2016,노원구,외래,"9,039,053","193,221,272","5,970,642","124,711,700","902,379","18,938,718","2,166,032","49,570,853"
2016,노원구,약국,"5,063,860","105,743,670","3,382,399","68,415,614","494,673","9,507,446","1,186,788","27,820,610"
2016,은평구,소계,"13,117,152","435,750,822","8,659,138","273,254,140","794,821","26,392,383","3,663,193","136,104,300"
2016,은평구,입원,"108,680","156,913,319","66,458","94,249,246","7,082","9,872,742","35,140","52,791,332"
2016,은평구,외래,"8,359,186","180,204,154","5,503,677","115,750,065","515,561","10,807,768","2,339,948","53,646,321"
2016,은평구,약국,"4,649,286","98,633,350","3,089,003","63,254,830","272,178","5,711,873","1,288,105","29,666,647"
2016,서대문구,소계,"8,175,698","288,317,752","5,393,929","180,024,957","550,145","18,851,128","2,231,624","89,441,667"
2016,서대문구,입원,"70,092","105,617,532","43,054","63,339,453","4,934","7,013,057","22,104","35,265,023"
2016,서대문구,외래,"5,249,968","118,907,528","3,454,234","75,909,390","357,028","7,775,963","1,438,706","35,222,175"
2016,서대문구,약국,"2,855,638","63,792,692","1,896,641","40,776,115","188,183","4,062,108","770,814","18,954,469"
2016,마포구,소계,"9,501,015","318,321,078","6,453,471","203,352,977","578,578","19,326,120","2,468,966","95,641,981"
2016,마포구,입원,"75,641","113,714,926","47,815","69,758,936","4,563","6,739,294","23,263","37,216,696"
2016,마포구,외래,"6,129,492","135,617,248","4,146,221","88,643,435","376,777","8,465,674","1,606,494","38,508,139"
2016,마포구,약국,"3,295,882","68,988,904","2,259,435","44,950,605","197,238","4,121,153","839,209","19,917,146"
2016,양천구,소계,"12,001,185","391,044,051","8,278,612","255,401,225","866,581","27,024,693","2,855,992","108,618,133"
2016,양천구,입원,"97,617","141,922,198","62,266","87,591,388","7,352","9,921,901","27,999","44,408,910"
2016,양천구,외래,"7,707,906","164,577,242","5,301,708","111,029,958","564,390","11,371,110","1,841,808","42,176,174"
2016,양천구,약국,"4,195,662","84,544,611","2,914,638","56,779,880","294,839","5,731,682","986,185","22,033,050"
2016,강서구,소계,"15,474,083","501,949,655","10,810,131","332,130,992","850,900","27,419,725","3,813,052","142,398,938"
2016,강서구,입원,"132,163","183,919,313","86,039","116,799,808","7,532","10,135,683","38,592","56,983,821"
2016,강서구,외래,"9,794,613","210,095,879","6,816,854","142,658,898","545,361","11,436,266","2,432,398","56,000,715"
2016,강서구,약국,"5,547,307","107,934,464","3,907,238","72,672,287","298,007","5,847,775","1,342,062","29,414,402"
2016,구로구,소계,"11,526,002","382,092,258","7,794,892","243,203,785","597,754","20,737,707","3,133,356","118,150,767"
2016,구로구,입원,"105,906","142,470,664","66,100","86,354,520","5,840","8,164,015","33,966","47,952,129"
2016,구로구,외래,"7,323,302","155,333,284","4,940,692","102,149,438","386,731","8,259,344","1,995,879","44,924,503"
2016,구로구,약국,"4,096,794","84,288,310","2,788,100","54,699,827","205,183","4,314,347","1,103,511","25,274,136"
2016,금천구,소계,"6,459,681","222,011,500","4,180,265","135,977,623","276,465","9,742,863","2,002,951","76,291,015"
2016,금천구,입원,"63,827","84,966,609","37,937","49,403,002","2,973","4,042,415","22,917","31,521,192"
2016,금천구,외래,"4,098,448","88,475,739","2,650,050","56,419,431","177,691","3,689,713","1,270,707","28,366,595"
2016,금천구,약국,"2,297,406","48,569,153","1,492,278","30,155,190","95,801","2,010,736","709,327","16,403,227"
2016,영등포구,소계,"9,806,625","345,507,107","6,401,409","210,286,788","598,566","20,267,121","2,806,650","114,953,198"
2016,영등포구,입원,"97,074","131,812,453","56,549","75,199,159","6,205","7,814,543","34,320","48,798,751"
2016,영등포구,외래,"6,261,709","138,864,465","4,078,325","88,378,763","386,933","8,361,837","1,796,451","42,123,865"
2016,영등포구,약국,"3,447,842","74,830,189","2,266,535","46,708,865","205,428","4,090,741","975,879","24,030,583"
2016,동작구,소계,"10,204,277","351,420,885","6,888,453","223,593,847","744,481","25,239,968","2,571,343","102,587,071"
2016,동작구,입원,"93,132","132,724,189","58,411","80,497,563","7,061","9,663,573","27,660","42,563,054"
2016,동작구,외래,"6,636,027","144,130,660","4,461,814","94,403,699","489,921","10,380,054","1,684,292","39,346,907"
2016,동작구,약국,"3,475,118","74,566,036","2,368,228","48,692,585","247,499","5,196,341","859,391","20,677,110"
2016,관악구,소계,"12,718,992","430,984,029","8,302,930","266,610,738","772,141","25,886,668","3,643,921","138,486,623"
2016,관악구,입원,"120,063","159,249,205","72,758","94,122,397","7,156","9,724,325","40,149","55,402,482"
2016,관악구,외래,"8,224,755","181,267,959","5,353,345","115,217,401","508,075","10,878,267","2,363,335","55,172,290"
2016,관악구,약국,"4,374,174","90,466,865","2,876,827","57,270,939","256,910","5,284,075","1,240,437","27,911,851"
2016,서초구,소계,"10,499,746","349,340,972","7,324,660","227,655,175","891,048","29,323,602","2,284,038","92,362,196"
2016,서초구,입원,"86,828","123,183,082","56,902","75,942,006","7,194","10,736,487","22,732","36,504,588"
2016,서초구,외래,"6,893,323","151,659,528","4,780,578","101,973,473","589,441","12,750,748","1,523,304","36,935,307"
2016,서초구,약국,"3,519,595","74,498,363","2,487,180","49,739,695","294,413","5,836,366","738,002","18,922,301"
2016,강남구,소계,"12,797,549","421,889,431","8,699,677","269,180,218","1,049,830","32,490,700","3,048,042","120,218,513"
2016,강남구,입원,"104,018","144,448,371","64,896","86,284,743","8,218","11,203,337","30,904","46,960,292"
2016,강남구,외래,"8,419,172","186,218,310","5,694,722","123,385,676","697,413","14,461,777","2,027,037","48,370,857"
2016,강남구,약국,"4,274,359","91,222,750","2,940,059","59,509,800","344,199","6,825,586","990,101","24,887,364"
2016,송파구,소계,"16,223,630","512,168,538","11,278,700","336,522,828","1,125,145","36,023,563","3,819,785","139,622,147"
2016,송파구,입원,"128,474","173,648,449","83,035","108,817,980","9,710","12,803,401","35,729","52,027,068"
2016,송파구,외래,"10,509,910","226,403,807","7,269,419","152,636,323","740,926","15,667,140","2,499,565","58,100,344"
2016,송파구,약국,"5,585,246","112,116,282","3,926,246","75,068,526","374,509","7,553,021","1,284,491","29,494,735"
2016,강동구,소계,"11,384,181","379,603,172","7,582,071","236,736,578","792,169","26,225,083","3,009,941","116,641,512"
2016,강동구,입원,"99,182","135,780,054","61,931","80,545,265","7,195","9,610,057","30,056","45,624,732"
2016,강동구,외래,"7,412,598","163,797,692","4,917,997","104,680,040","525,665","11,386,524","1,968,936","47,731,128"
2016,강동구,약국,"3,872,401","80,025,427","2,602,143","51,511,273","259,309","5,228,501","1,010,949","23,285,652"
2017,합계,합계,"255,572,946","9,061,668,736","171,050,034","5,725,975,385","16,242,865","572,859,568","68,280,047","2,762,833,784"
2017,합계,입원,"2,207,314","3,212,239,155","1,360,635","1,925,837,451","147,292","210,576,700","699,387","1,075,825,004"
2017,합계,외래,"164,309,026","3,868,731,336","109,614,383","2,523,467,296","10,594,172","243,629,033","44,100,471","1,101,635,007"
2017,합계,약국,"89,056,606","1,980,698,245","60,075,016","1,276,670,638","5,501,401","118,653,834","23,480,189","585,373,773"
2017,종로구,소계,"3,750,507","145,590,890","2,268,724","82,458,414","273,591","9,705,968","1,208,192","53,426,509"
2017,종로구,입원,"35,134","55,233,918","19,420","29,379,039","2,351","3,494,065","13,363","22,360,814"
2017,종로구,외래,"2,454,610","58,933,079","1,479,863","34,802,285","180,485","4,185,027","794,262","19,945,767"
2017,종로구,약국,"1,260,763","31,423,894","769,441","18,277,090","90,755","2,026,876","400,567","11,119,928"
2017,중구,소계,"3,360,052","131,856,730","2,086,439","76,135,480","145,109","5,441,561","1,128,504","50,279,688"
2017,중구,입원,"32,664","49,681,949","18,264","26,977,527","1,686","2,118,182","12,714","20,586,240"
2017,중구,외래,"2,178,752","54,207,328","1,349,533","32,563,983","95,611","2,201,267","733,608","19,442,078"
2017,중구,약국,"1,148,636","27,967,453","718,642","16,593,971","47,812","1,122,112","382,182","10,251,370"
2017,용산구,소계,"5,491,899","213,285,614","3,497,946","127,338,113","368,865","13,749,611","1,625,088","72,197,890"
2017,용산구,입원,"52,787","80,038,889","30,806","44,845,629","3,833","5,167,779","18,148","30,025,481"
